Name,Rating,Review,Date
Crawford Vs Spence Jr,,,
Crawford Vs Brook,,,
Crawford Vs Khan,,,
Crawford Vs Porter,,,
Crawford Vs Campos,,,
Khan Vs Brook,,,
Khan Vs Garcia,,,
Khan Vs Peterson,,,
Khan Vs Prescott,,,
Khan Vs Alvarez,,,
Khan Vs Lo Greco,,,
Fryer Vs Sylvester,,,
Noakes Vs Sylvester,,,
Haye Vs Valuev,,,
Haye Vs Ruiz,,,
Haye Vs Harrison,,,
Haye Vs Klitschko,,,
Warrington Vs Selby,,,
Fury Vs Usyk I,,,
Fury Vs Usyk II,,,
Joshua Vs Povetkin,,,
Joshua Vs Usyk I,,,
Joshua Vs Usyk II,,,
Joshua Vs Ruiz I,,,
Joshua Vs Ruiz II,,,
Joshua Vs Wallin,,,
Joshua Vs Ngannou,,,
Joshua Vs Dubois ,,,
Lomachenko Vs Rigondeux,,,
Lomachenko Vs Haney,,,
Lomachenko Vs Lopez,,,
Lomachenko Vs Linares,,,
Groves Vs Adamu,,,
Froch Vs Groves I,,,
Froch Vs Groves II,,,
Pacquiao Vs Mayweather,,,
Pacquiao Vs Hatton,,,
Pacquiao Vs Marquez IV,,,
Mayweather Vs Hatton,,,
Mayweather Vs Ortiz,,,
Mayweather Vs Alvarez,,,
Mayweather Vs McGregor,,,
Caterall Vs Taylor,,,
Beterbiev Vs Bivol I,,,
Beterbiev Vs Bivol II,,,
Beterviev Vs Smith Jr,,,
Smith Vs Buatsi,,,
Golovkin Vs Alvarez I,,,
Golovkin Vs Alvarez II,,,
Whittaker Vs Cameron I,,,
Whittaker Vs Cameron II,,,
Sheeraz Vs Adames,,,
Eubank Jr Vs Smith I,,,
Eubank Jr Vs Smith II,,,
Eubank Jr. Vs Benn,,,
Bateson Vs Masoud,,,
Bateson Vs Quartermain,,,
Davis Vs Garcia,,,
Billam-Smith Vs Glanton,,,
Smith Vs McKenna,,,
Madrimov Vs Ortiz Jr.,,,
Inoue Vs Nery,,,
Inoue Vs Kim,,,
Inoue Vs Moloney,,,
Inoue Vs McDonnell,,,
Inoue Vs Cardenas,,,
Inoue Vs Fulton,,,
Inoue Vs Doheny,,,
Inoue Vs Butler,,,
Inoue Vs Dasmarinas,,,
Inoue Vs Boyeaux,,,
Inoue Vs Parrenas,,,
Inoue Vs Rodriguez,,,
Inoue Vs Donaire I,,,
Inoue Vs Donaire II,,,
Inoue Vs Topales,,,
Inoue Vs Nieves,,,
Inoue Vs Sano,,,
Inoue Vs Basapean,,,
Garcia Vs Romero,,,
Hearns Vs Duran,,,
Hearns Vs Hagler,,,
Bivol Vs Alvarez,,,
Nakatani Vs Cuellar,,,
Nakatani Vs Astrolabio,,,
Nakatani Vs Acosta,,,
Nakatani Vs Maloney,,,
Nakatani Vs Chitpattana,,,
Nakatani Vs Santiago,,,
Nakatani Vs Nishida,,,
Ashfaq Vs Abdullah,,,
Ashfaq Vs Leach,,,
Abdullah Vs Miller,,,
Conlan Vs Lopez,,,
Conlan Vs Wood,,,
Conlan Vs Guerfi,,,
Conlan Vs Gill,,,
Wood Vs Warrington,,,
Wood Vs Cacace,,,
Warrington Vs Cacace,,,
Lomachenko Vs Kambosos Jr,,,
Yafai Vs Edwards,,,
Rodriquez Vs Sor Rungvisai,,,
Tsutsumi Vs Arboleda,,,
Tsutsumi Vs Ventura,,,
Tsutsumi Vs Alvarado,,,
Masoud Vs Davies,,,
Sheeraz Vs Berlanga,,,
Stevenson Vs Padley,,,
Stevenson Vs Zepeda,,,
Vargas Vs Espinoza,,,
Teraji Vs Budler,,,
Teraji Vs Olascuaga,,,
Teraji Vs Kyoghuchi,,,
Alakel Vs Singh,,,
Ford Vs Nova,,,
Hrgovic Vs Adeleye,,,
Tsutsumi Vs Ashfaq,,,
Ball Vs Goodman,,,
Itauma Vs Whyte,,,
